Estacao;Data da Coleta;Velocidade Vento 10/5m;Velocidade Vento 2m;Direção do Vento;Radiação Solar;Radiação Solar Refletida;Fluxo de Calor no Solo;Umidade Relativa do Ar;Temperatura do Ar;Temperatura do Solo 3cm;Temperatura do Solo 6cm;Temperatura do Solo 18cm;Pressão Atmosférica;Precipitação
Ribeirão Preto;2015-01-01 00:00:00;0.2;0;0;0;0;14.11;90.4;22.89;29.15;29.38;28.46;947;0
Ribeirão Preto;2015-01-01 01:00:00;0.38;0;0;0;0;14.2;88.7;22.81;28.91;29.24;28.46;946;0
Ribeirão Preto;2015-01-01 02:00:00;0.12;0;0;0;0;14.43;90.9;22.22;28.6;29.1;28.51;946;0
Ribeirão Preto;2015-01-01 03:00:00;0.01;0;0;0;0;15.23;92.8;21.92;28.21;28.97;28.52;946;0
Ribeirão Preto;2015-01-01 04:00:00;0.24;0;0;0;0;15.6;94;21.33;27.73;28.84;28.52;946;0
Ribeirão Preto;2015-01-01 05:00:00;0.03;0;0;0;0;15.23;94.8;21.18;27.12;28.69;28.51;947;0
Ribeirão Preto;2015-01-01 06:00:00;0.3;0;0;4.612;0;15.09;94.9;20.86;26.63;28.54;28.47;948;0
Ribeirão Preto;2015-01-01 07:00:00;0.26;0;0;116.5;0;11.78;93.5;22.21;26.39;28.4;28.46;948;0
Ribeirão Preto;2015-01-01 08:00:00;0.73;0;0;281.8;0;1.65;77.7;25.09;26.85;28.26;28.46;946;0
Ribeirão Preto;2015-01-01 09:00:00;1.267;0;0;481.6;0;-25.64;69.66;26.62;28.78;28.14;28.46;945;0
Ribeirão Preto;2015-01-01 10:00:00;2.064;0;0;660.5;0;-49.67;61.36;28.4;31.87;28.1;28.45;944;0
Ribeirão Preto;2015-01-01 11:00:00;2.648;0;0;820;0;-65.98;56.22;29.7;35.08;28.12;28.4;942;0
Ribeirão Preto;2015-01-01 12:00:00;2.704;0;0;828;0;-72.53;52.12;30.58;37.21;28.28;28.35;942;0
Ribeirão Preto;2015-01-01 13:00:00;2.902;0;0;914;0;-71.37;48.04;31.43;38.45;28.58;28.34;941;0
Ribeirão Preto;2015-01-01 14:00:00;2.618;0;0;855;0;-69.38;43.34;32.19;40.11;28.96;28.34;940;0
Ribeirão Preto;2015-01-01 15:00:00;3.223;0;0;784.2;0;-55.8;37.38;32.81;40.77;29.38;28.34;939;0
Ribeirão Preto;2015-01-01 16:00:00;2.712;0;0;617.7;0;-42.65;38.19;33.02;40.52;29.85;28.34;938;0
Ribeirão Preto;2015-01-01 17:00:00;2.127;0;0;427.2;0;-23.35;40.28;32.55;39.31;30.29;28.34;937;0
Ribeirão Preto;2015-01-01 18:00:00;1.811;0;0;239;0;-5.214;40.55;31.99;37.3;30.65;28.35;937;0
Ribeirão Preto;2015-01-01 19:00:00;1.538;0;0;40.3;0;8.88;48.8;30.05;35.5;30.9;28.42;938;0
Ribeirão Preto;2015-01-01 20:00:00;2.347;0;0;0;0;16.65;56.13;27.7;33.88;30.99;28.46;940;0
Ribeirão Preto;2015-01-01 21:00:00;1.428;0;0;0;0;17.27;52.77;27.91;32.6;30.96;28.51;942;0
Ribeirão Preto;2015-01-01 22:00:00;0.93;0;0;0;0;16.69;67.29;24.98;31.76;30.83;28.57;943;0
Ribeirão Preto;2015-01-01 23:00:00;0.9;0;0;0;0;16.38;72.04;24.33;31.07;30.64;28.61;944;0
Ribeirão Preto;2015-01-02 00:00:00;0.32;0;0;0;0;15.76;76.16;23.8;30.55;30.44;28.65;944;0
Ribeirão Preto;2015-01-02 01:00:00;0.38;0;0;0;0;15.52;77.76;23.41;30.09;30.24;28.69;944;0
Ribeirão Preto;2015-01-02 02:00:00;0.07;0;0;0;0;15.51;80;22.88;29.82;30.03;28.72;944;0
Ribeirão Preto;2015-01-02 03:00:00;0.3;0;0;0;0;15.23;81.4;22.65;29.41;29.84;28.75;944;0
Ribeirão Preto;2015-01-02 04:00:00;0.27;0;0;0;0;14.98;83.5;22.14;28.88;29.64;28.75;945;0
Ribeirão Preto;2015-01-02 05:00:00;0.06;0;0;0;0;14.58;84.3;21.99;28.35;29.45;28.75;946;0
Ribeirão Preto;2015-01-02 06:00:00;0.01;0;0;7.474;0;13.96;87.2;21.69;27.55;29.27;28.75;947;0
Ribeirão Preto;2015-01-02 07:00:00;0.18;0;0;113;0;9.64;83.7;23.17;27.17;29.09;28.74;947;0
Ribeirão Preto;2015-01-02 08:00:00;0.68;0;0;287.4;0;-1.603;69.28;26.39;27.74;28.93;28.73;946;0
Ribeirão Preto;2015-01-02 09:00:00;1.172;0;0;452;0;-20.9;65.85;27.45;29.44;28.79;28.69;944;0
Ribeirão Preto;2015-01-02 10:00:00;1.832;0;0;445.6;0;-36.06;57.76;29.22;32.41;28.7;28.68;944;0
Ribeirão Preto;2015-01-02 11:00:00;1.894;0;0;671.3;0;-41.67;53.59;30.1;34.47;28.73;28.68;943;0
Ribeirão Preto;2015-01-02 12:00:00;2.603;0;0;853;0;-67.5;48.62;31.1;37.58;28.87;28.64;942;0
Ribeirão Preto;2015-01-02 13:00:00;2.541;0;0;899;0;-63.8;43.12;32.15;40.3;29.1;28.63;941;0
Ribeirão Preto;2015-01-02 14:00:00;2.393;0;0;759;0;-55.86;41.18;32.8;42.06;29.47;28.58;940;0
Ribeirão Preto;2015-01-02 15:00:00;2.33;0;0;748.8;0;-37.87;35.35;33.57;42.21;29.92;28.57;939;0
Ribeirão Preto;2015-01-02 16:00:00;2.457;0;0;444;0;-23.73;39.98;32.94;41.67;30.38;28.57;938;0
Ribeirão Preto;2015-01-02 17:00:00;2.495;0;0;416;0;-11.99;35.55;33.29;40;30.81;28.6;937;0
Ribeirão Preto;2015-01-02 18:00:00;1.711;0;0;212;0;1.398;38.41;33.01;38.05;31.13;28.64;937;0
Ribeirão Preto;2015-01-02 19:00:00;1.161;0;0;43.15;0;9.64;46.07;31.22;36.24;31.31;28.68;938;0
Ribeirão Preto;2015-01-02 20:00:00;1.686;0;0;0;0;12.45;50.64;29.81;34.77;31.36;28.71;939;0
Ribeirão Preto;2015-01-02 21:00:00;1.48;0;0;0;0;11.61;52.96;29.12;33.63;31.32;28.77;941;0
Ribeirão Preto;2015-01-02 22:00:00;2.18;0;0;0;0;9.92;50.88;29.43;32.84;31.19;28.82;943;0
Ribeirão Preto;2015-01-02 23:00:00;1.875;0;0;0;0;8.95;61.25;27.46;31.72;31.03;28.87;944;0
Ribeirão Preto;2015-01-03 00:00:00;1.087;0;0;0;0;8.61;67.91;25.99;30.06;30.83;28.91;944;0
Ribeirão Preto;2015-01-03 01:00:00;0.61;0;0;0;0;9.31;74.35;24.6;30.07;30.65;28.94;944;0
Ribeirão Preto;2015-01-03 02:00:00;0.67;0;0;0;0;9.68;77.61;23.84;29.82;30.47;28.97;944;0
Ribeirão Preto;2015-01-03 03:00:00;1.185;0;0;0;0;9.4;80.2;23.29;29.48;30.28;28.97;944;0
Ribeirão Preto;2015-01-03 04:00:00;0.8;0;0;0;0;7.836;80.9;23.19;29.2;30.11;28.99;944;0
Ribeirão Preto;2015-01-03 05:00:00;0.72;0;0;0;0;8.07;86.2;22.38;28.79;29.93;29.01;946;0
Ribeirão Preto;2015-01-03 06:00:00;0.62;0;0;3.791;0;8.62;86.4;22.25;28.33;29.76;28.99;947;0
Ribeirão Preto;2015-01-03 07:00:00;0.86;0;0;48.97;0;7.684;78.65;23.42;27.97;29.6;28.97;947;0
Ribeirão Preto;2015-01-03 08:00:00;1.072;0;0;257.3;0;-0.03;69.47;25.44;28.14;29.45;28.97;946;0
Ribeirão Preto;2015-01-03 09:00:00;1.394;0;0;576.6;0;-25.52;58.33;28.54;30.28;29.31;28.97;945;0
Ribeirão Preto;2015-01-03 10:00:00;2.122;0;0;646.6;0;-42.04;52.99;29.84;34.37;29.21;28.94;943;0
Ribeirão Preto;2015-01-03 11:00:00;1.866;0;0;832;0;-54;48.52;31.11;37.49;29.24;28.91;942;0
